id,artist,song_title,decade,lyrics,alt_lyrics
102678902,Newcleus,Jam On It - Alek Stark Remix,1980s,yeah jam on it yeah yeah we know we know huh yeah goggles you gonna rock it right you gonna do it down right ha ha ha ha yeah hey cozmo whats the name of this again i forgot jam on it oh oh chilly b get down ho oh oh here comes cozmo ho we get to say wikki wikki wikki again wikki wikki wikki wikki shut up wikki wikki wikki wikki three words to the whack step yourself back just gettin down and you then youre givin no slack like a burger king with a sack of big macs were throwin down with the radical sacks on time in your mind you see you gotta boogie to your best ability you gotta funk it up until it knocks you down and when youre funkin up be sure to pass it around come on lets go to work we got whatll make your body jerk make you throw your hands up in the air shake your booty and scream oh yeah cause we are the jam on crew and jammin on it is how we do the do well funk you up until you boogie down so come people check out the sound check out the sound check out the sound check out the sound check out the sound check out the sound check out the sound check out the sound check out the sound check out the sound jam on it theres going to sound theyre going to get down jam on it allow me to introduce myself my name is chilly b and im a surefire full blooded bonafide house rockin jam on production mc if you want the best put me to the test and im sure youll soon agree,yeah jam yeah know huh goggles gonna rock right gonna down right ha ha ha ha hey cozmo whats name again forgot jam chilly down ho comes cozmo ho wikki wikki wikki again wikki wikki wikki wikki shut wikki wikki wikki wikki three words whack step yourself gettin down youre givin slack burger king sack big macs were throwin down radical sacks mind gotta boogie best ability gotta funk knocks down youre funkin sure pass around lets work got whatll body jerk throw hands air shake booty scream cause are jam crew jammin do funk boogie down people check sound check sound check sound check sound check sound check sound check sound check sound check sound check sound jam going sound going down jam allow me introduce myself name chilly surefire full blooded bonafide house rockin jam production mc best me test sure soon agree
5141541,Cash Money & Marvelous,Ugly People Be Quiet (Remix),1980s,cash money and marvelous miscellaneous ugly people be quiet all the ugly people be quiet but before we get this party started right hey cash just clap your hands just make your hands clap to marvelous the mic marvel dictator of rap get on the dancefloor let me see what you got cos the sound were throwin down it makes you wanna rock ha hurby luv supplying the beat they make my rhymes sound fresher to the highest peak a check it out check it out get down a wild style form of rap my dazzling sound the style im reciting just reciting my style the double words words double but i call it wild so girl just keep grabbing keep grabbing my tip long as the moneys flowin everything is legit,cash money marvelous miscellaneous ugly people quiet ugly people quiet party started right hey cash clap hands hands clap marvelous mic marvel dictator rap dancefloor me got cos sound were throwin down makes wanna rock ha hurby luv supplying beat rhymes sound fresher highest peak check check down wild style form rap dazzling sound style reciting reciting style double words words double call wild girl keep grabbing keep grabbing tip long moneys flowin everything legit
102678901,Newcleus,Jam On It - Phuture Phunk Remix,1980s,yeah jam on it yeah yeah we know we know huh yeah goggles you gonna rock it right you gonna do it down right ha ha ha ha yeah hey cozmo whats the name of this again i forgot jam on it oh oh chilly b get down ho oh oh here comes cozmo ho we get to say wikki wikki wikki again wikki wikki wikki wikki shut up wikki wikki wikki wikki three words to the whack step yourself back just gettin down and you then youre givin no slack like a burger king with a sack of big macs were throwin down with the radical sacks on time in your mind you see you gotta boogie to your best ability you gotta funk it up until it knocks you down and when youre funkin up be sure to pass it around come on lets go to work we got whatll make your body jerk make you throw your hands up in the air shake your booty and scream oh yeah cause we are the jam on crew and jammin on it is how we do the do well funk you up until you boogie down so come people check out the sound check out the sound check out the sound check out the sound check out the sound check out the sound check out the sound check out the sound check out the sound check out the sound jam on it theres going to sound theyre going to get down jam on it allow me to introduce myself my name is chilly b and im a surefire full blooded bonafide house rockin jam on production mc if you want the best put me to the test and im sure youll soon agree,yeah jam yeah know huh goggles gonna rock right gonna down right ha ha ha ha hey cozmo whats name again forgot jam chilly down ho comes cozmo ho wikki wikki wikki again wikki wikki wikki wikki shut wikki wikki wikki wikki three words whack step yourself gettin down youre givin slack burger king sack big macs were throwin down radical sacks mind gotta boogie best ability gotta funk knocks down youre funkin sure pass around lets work got whatll body jerk throw hands air shake booty scream cause are jam crew jammin do funk boogie down people check sound check sound check sound check sound check sound check sound check sound check sound check sound check sound jam going sound going down jam allow me introduce myself name chilly surefire full blooded bonafide house rockin jam production mc best me test sure soon agree
3971725,Hijack,Style Wars (Bonus Beats),1980s,the grand undercover the grand kamanchi sly the rhyme writer laugh when you say your styles hardcore just another dance track record bore stand back to observe the scratches outrageous different punctuation is coarse and contagious auditorium packed release my attack on stage you realise that youre the wack cause then its kill or be killed thrill or be thrilled and if we dont talk bloods gonna be spilled dont bump no junk rock a hardcore sound i play it for my crowd and i say it loud this young minority the ones with no authority classification of hijack is a commodity you lack then look at the top you see our name three black brothers that feel no shame to say yes we broke up the ice to be precise you better think twice or maybe think thrice before stepping onto my track youll get beat whipped by the crew thats the talk of the street so stand in the trance of my tune its like a fantasy,the grand undercover grand kamanchi sly rhyme writer laugh styles hardcore another dance track record bore stand observe scratches outrageous different punctuation coarse contagious auditorium packed release attack stage realise youre wack cause kill killed thrill thrilled talk bloods gonna spilled bump junk rock hardcore sound play crowd loud young minority ones authority classification hijack commodity lack top name three black brothers feel shame yes broke ice precise better twice maybe thrice stepping track beat whipped crew talk street stand trance tune fantasy
102678897,Newcleus,Jam On It - Bonus Beats,1980s,yeah jam on it yeah yeah we know we know huh yeah goggles you gonna rock it right you gonna do it down right ha ha ha ha yeah hey cozmo whats the name of this again i forgot jam on it oh oh chilly b get down ho oh oh here comes cozmo ho we get to say wikki wikki wikki again wikki wikki wikki wikki shut up wikki wikki wikki wikki three words to the whack step yourself back just gettin down and you then youre givin no slack like a burger king with a sack of big macs were throwin down with the radical sacks on time in your mind you see you gotta boogie to your best ability you gotta funk it up until it knocks you down and when youre funkin up be sure to pass it around come on lets go to work we got whatll make your body jerk make you throw your hands up in the air shake your booty and scream oh yeah cause we are the jam on crew and jammin on it is how we do the do well funk you up until you boogie down so come people check out the sound check out the sound check out the sound check out the sound check out the sound check out the sound check out the sound check out the sound check out the sound check out the sound jam on it theres going to sound theyre going to get down jam on it allow me to introduce myself my name is chilly b and im a surefire full blooded bonafide house rockin jam on production mc if you want the best put me to the test and im sure youll soon agree,yeah jam yeah know huh goggles gonna rock right gonna down right ha ha ha ha hey cozmo whats name again forgot jam chilly down ho comes cozmo ho wikki wikki wikki again wikki wikki wikki wikki shut wikki wikki wikki wikki three words whack step yourself gettin down youre givin slack burger king sack big macs were throwin down radical sacks mind gotta boogie best ability gotta funk knocks down youre funkin sure pass around lets work got whatll body jerk throw hands air shake booty scream cause are jam crew jammin do funk boogie down people check sound check sound check sound check sound check sound check sound check sound check sound check sound check sound jam going sound going down jam allow me introduce myself name chilly surefire full blooded bonafide house rockin jam production mc best me test sure soon agree
49022218,Jungle Brothers,I'll House You (Full Mastereeed),1980s,girl ill house you girl ill house you girl ill house you you in my hut now my hut girl ill house you girl ill house you girl ill house you you in my hut now when youre in my hut you know whats up let your mind be free relax your body jump jump a little higher jump jump until you get tired house your body house your body house your body to the bass house it all over the place dont let nobody in your way tonights your night todays your day,girl ill house girl ill house girl ill house you hut hut girl ill house girl ill house girl ill house you hut youre hut whats mind free relax body jump jump little higher jump jump tired house body house body house body bass house place nobody tonights night todays day
49022216,Jungle Brothers,I'll House You (Slow Mix),1980s,girl ill house you girl ill house you girl ill house you you in my hut now my hut girl ill house you girl ill house you girl ill house you you in my hut now when youre in my hut you know whats up let your mind be free relax your body jump jump a little higher jump jump until you get tired house your body house your body house your body to the bass house it all over the place dont let nobody in your way tonights your night todays your day,girl ill house girl ill house girl ill house you hut hut girl ill house girl ill house girl ill house you hut youre hut whats mind free relax body jump jump little higher jump jump tired house body house body house body bass house place nobody tonights night todays day
80178052,Geto Boys,One Time Freestyle,1980s,yo johny c and box rock it freestyle one time the beat is pumpin partys jumpin makes you shakin the ground suckers starin while im darin you to try to get down im controllin and im rollin out on any mc hes not happy thats a smile full of jealousy cold crushin and im dustin leavin suckers behind i could never be took cause whats mine is mine and im just realizin im only hypnotizin girlies are in trance breakin in cold sweat when i snap my fingers you shall all snap out of it im elevated the greatness ive created and i wanna thank god i finally made it my beat is uptown no i wont trade it makin big bucks and nones drug related my djs ready red and he could never be imitated so push power and youll hear the grand wizard fade it yo box the time has come that i serve and you observe you wanna challenge competition you lack the nerve im your destruction and come prior to ya you gotta accept and i be makin cash money you a demo cassette with a killer like motive and a four wheel drive keep you punks lined up everyone will survive i know you steal from other rappers like a rat on the hunt therefore your rhyme is just so yo dont front juke box the undisputed power house on the scene representin 5th ward not hollis queens but if you know were from the country crushin kamikazie you aint on my mission break out see i advise you break fool and terrorize everything in sight,yo johny c box rock freestyle beat pumpin partys jumpin makes shakin ground suckers starin while darin try down controllin rollin mc hes happy smile full jealousy cold crushin dustin leavin suckers behind never took cause whats mine mine realizin hypnotizin girlies are trance breakin cold sweat snap fingers shall snap elevated greatness ive created wanna thank god finally made beat uptown wont trade makin big bucks nones drug related djs ready red he never imitated push power hear grand wizard fade yo box has serve observe wanna challenge competition lack nerve destruction prior ya gotta accept makin cash money demo cassette killer motive four wheel drive keep punks lined everyone survive steal rappers rat hunt therefore rhyme yo front juke box undisputed power house scene representin 5th ward hollis queens were country crushin kamikazie aint mission break advise break fool terrorize everything sight
40586031,Run-DMC,Peter Piper (Live),1980s,now peter piper picked peppers but run rocked rhymes humpty dumpty fell down thats his hard time jack b nimble was nimble and he was quick but jam master cut faster jacks on jays dick now little bo peep cold lost her sheep and rip van winkle fell the hell asleep and alice chillin somewhere in wonderland jacks serving jill a bucket in his hand and jam master jays making out our sound the turntables might wobble but they wont fall down now dr seuss and mother goose both did their thing but jam masters gettin loose and d m cs the king cause hes the adult entertainer child educator jam master jay king of the crossfader hes the better of the best best believe hes the baddest perfect timin when im climbin im rhymin apparatus,now peter piper picked peppers run rocked rhymes humpty dumpty fell down his hard jack nimble was nimble he was quick jam master cut faster jacks jays dick little bo peep cold lost her sheep rip van winkle fell hell asleep alice chillin somewhere wonderland jacks serving jill bucket his hand jam master jays making sound turntables might wobble wont fall down dr seuss mother goose both did thing jam masters gettin loose d m cs king cause hes adult entertainer child educator jam master jay king crossfader hes better best best believe hes baddest perfect timin climbin rhymin apparatus
45633438,Sir Mix-A-Lot,My Bad Side,1980s,royals lorde counting stars onerepublic timber pitbull the monster eminem wrecking ball miley cyrus roar katy perry play song earn rewards sounds of gun shots being fired person yelling hey yo aint you the one that was talkin crazy to me other day on rain ear yeah that was me what you gonna do about it mix a lot gun blast rushin up the middle like a fullback its my drug head to head contact mack 11 my best friend in full effect thats the beat that you been lookin for no pussy check come quietly the punishment awaits you im playin games and i know you cant relate too surprise my rhyme hit you from the blind side you better chill cause your messin with my bad side suckers getting tossed my my my my my bad side suckers gettin tossed suckers gettin tossed my my my my my bad side suckers gettin tossed my my my my my bad side my bad side drop the square dance punk i aint bullshittin,royals lorde counting stars onerepublic timber pitbull monster eminem wrecking ball miley cyrus roar katy perry play song earn rewards sounds gun shots being fired person yelling hey yo aint was talkin crazy me day rain ear was me gonna mix lot gun blast rushin middle fullback drug head head contact mack 11 best friend full effect beat been lookin pussy check quietly punishment awaits playin games cant relate too surprise rhyme hit blind side better chill cause messin bad side suckers getting tossed my bad side suckers gettin tossed suckers gettin tossed my bad side suckers gettin tossed my bad side bad side drop square dance punk aint bullshittin
19141765,Kurtis Blow,The Bronx,1980s,wait a minute wait a minute rolling over the crest of the hill like a jet propelled job comes daffy duck sample kurt kurt kurtis blow our parties are def and the girlies are pretty in the boogie down bronx town in new york city like the sun will shine in the summertime i dont do no crimes cause i just rhyme i drive a benz and i got a lot of friends up on the concourse where tremont ends or jerome avenue or gun hill road the place where rap started in the days of old,wait minute wait minute rolling crest hill jet propelled job comes daffy duck sample kurt kurt kurtis blow parties are def girlies are pretty boogie down bronx town york city sun shine summertime crimes cause rhyme drive benz got lot friends concourse where tremont ends jerome avenue gun hill road place where rap started days old
15465893,Young MC,Pick Up The Pace 1990,1980s,no one can rock the microphone finer east west north south carolina alex and vivian chillin at mels diner off to china cause i got a show there get my passport then im gonna go there who do i know there i guess no one but i will have fun and i get the job done on the airplane movin like the concord come and join me everybody on board you wont be bored with the stuff im pickin up watch me quicken up and with the pace i pick it up pick up the pace second verse and never cursin rockin the microphone with the style that im rehersin in person that means liver swimmin and slimmin just like a deep sea diver ill arrive uh just to go faster grab the microphone and show that i am the master of disaster cookin up a potion with the funky rhymes to put the people into motion of the ocean movin like the water heres the menu go place your order its a slaughter a felony of chatter and pickin up the pace is the subject matter second verse and never cursin,no rock microphone finer east west north south carolina alex vivian chillin mels diner off china cause got show passport gonna guess fun job done airplane movin concord join me everybody board wont bored stuff pickin watch me quicken pace pick pick pace second verse never cursin rockin microphone style rehersin person means liver swimmin slimmin deep sea diver ill arrive uh faster grab microphone show am master disaster cookin potion funky rhymes people motion ocean movin water heres menu place order slaughter felony chatter pickin pace subject matter second verse never cursin
38038439,Run-DMC,They Call Us Run-D.M.C.,1980s,now that i waxed the crowd im feeling proud and loud shoulda screamed on a sucker but i stepped and bowed now that im back to tract ill attack for fun darryl mack and jack is never wack or lack they call us run dmc run dmc im strapped with rap when i attack im stunning darrly mack on track and im off and running dont sneak this peak because i keep on taking the lead with speed and records keep on breaking i pop and drop all opposition and pop hip hop cause im the top position i ill and chill cause my skill is super for a mill i thrill but im still a trooper ill slay and stay til there are none so romance and dance and prance a to the chants of run dmc run dmc,now waxed crowd feeling proud loud shoulda screamed sucker stepped bowed tract ill attack fun darryl mack jack never wack lack call run dmc run dmc strapped rap attack stunning darrly mack track off running sneak peak keep taking lead speed records keep breaking pop drop opposition pop hip hop cause top position ill chill cause skill super mill thrill trooper ill slay stay til are none romance dance prance chants run dmc run dmc
17538622,Jungle Brothers,Braggin and Boastin,1980s,the jungle brothers miscellaneous braggin and boastin intro afrika mike g sammy b is on the cut sammy b is on the cut sammy b is on the cut sammy beeeeeeeeeeeeeee a ha hah one two g one two a one two g how we gonna do this a what we have here g ya a is the jungle brothers g yeah a on a black piece of wax g yeah my name is mike g a uh huh g on the mix is sammy b first in line to kick the rhyme jungle brother a shazzam g yeah a one big scratch here we go afrika well im a sure shot shooter and im the big shot the big shot yes the biggest and i know im hot say im the baddest just the baddest and im on the top sucker mcs try to stop me but i wont stop as i adjust and discuss all the rhymes i bust i leave em all in the dust when i start the thrust they try to catch me on the mic but im hard to chase im the ace in the place kickin rhymes in your face,the jungle brothers miscellaneous braggin boastin intro afrika mike g sammy cut sammy cut sammy cut sammy beeeeeeeeeeeeeee ha hah g two g gonna g ya jungle brothers g black piece wax g name mike g uh huh g mix sammy line kick rhyme jungle brother shazzam g big scratch afrika sure shot shooter big shot big shot yes biggest hot baddest baddest top sucker mcs try stop me wont stop adjust discuss rhymes bust leave em dust start thrust try catch me mic hard chase ace place kickin rhymes face
52874739,Boogie Down Productions,Poetry (Extended Edit),1980s,one krs one well now youre forced to listen to the teacher and the lesson class is in session so you can stop guessin if this is a tape or a written down memo see i am a professional this is not a demo in fact call it a lecture a visual picture sort of a poetic and rhythm like mixture listen im not dissin but theres somethin that youre missin maybe you should touch reality stop wishin for beats with plenty bass and lyrics said in haste if this meaning doesnt manifest put it to rest i am a poet you try to show it yet blow it it takes concentration for fresh communication observation that is to see without speaking take off your coat take notes i am teachin a class or rather school cause you need schooling i am not a king or queen im not ruling this is anduction to poetry a small dedication to those that might know of me they might know of you and maybe your gang but one things for sure neither one of yall can hang cause yo im like a arrow and scott is the crossbow say something now thought so you seem to be the type that only understand the annihilation and destruction of the next man thats not poetry that is insanity its simply fantasy far from reality poetry is the language of imagination poetry is a form of positive creation,one krs youre forced listen teacher lesson class session stop guessin tape written down memo am professional demo fact call lecture visual picture sort poetic rhythm mixture listen dissin somethin youre missin maybe should touch reality stop wishin beats plenty bass lyrics said haste meaning doesnt manifest rest am poet try show yet blow it takes concentration fresh communication observation without speaking off coat notes am teachin class rather school cause need schooling am king queen ruling anduction poetry small dedication those might me might maybe gang things sure neither yall hang cause yo arrow scott crossbow something thought seem type understand annihilation destruction next man poetry insanity simply fantasy far reality poetry language imagination poetry form positive creation
