title,artist,reached_number_one
Hot Boyz,"Missy Elliott featuring Nas, Eve and Q-Tip","November 27, 1999"
Whistle While You Twurk,Ying Yang Twins,"April 1, 2000"
Wobble Wobble,504 Boyz,"April 15, 2000"
Country Grammar (Hot Shit),Nelly,"May 27, 2000"
Flamboyant,Big L,"June 24, 2000"
Callin' Me,Lil Zane featuring 112,"July 15, 2000"
Bounce with Me,Lil' Bow Wow featuring Xscape,"August 19, 2000"
Move Somethin',Talib Kweli and Hi-Tek (Reflection Eternal),"October 28, 2000"
It's OK,Slimm Calhoun featuring André 3000,"November 4, 2000"
Souljas,Master P,"November 18, 2000"
Baby if You're Ready,Doggy's Angels featuring LaToiya,"November 25, 2000"
Oh No,Mos Def and Pharoahe Monch featuring Nate Dogg,"January 20, 2001"
Ms. Jackson,Outkast,"February 3, 2001"
It Wasn't Me,"Shaggy featuring Ricardo ""Rikrok"" Ducent","February 24, 2001"
Bow Wow (That's My Name),Lil' Bow Wow,"March 10, 2001"
What Would You Do?,City High,"April 7, 2001"
My Baby,Lil' Romeo,"May 19, 2001"
Purple Pills,D12,"July 28, 2001"
My Projects,Coo Coo Cal,"August 18, 2001"
Raise Up,Petey Pablo,"September 15, 2001"
Dansin wit Wolvez,Strik 9ine,"November 24, 2001"
Round and Round,Jonell featuring Method Man,"January 5, 2002"
"Lights, Camera, Action!",Mr. Cheeks,"March 2, 2002"
Feels Good (Don't Worry Bout a Thing),Naughty by Nature featuring 3LW,"April 27, 2002"
Ballin' Boy,No Good,"June 1, 2002"
I Need a Girl (Part One),P. Diddy featuring Usher and Loon,"June 8, 2002"
Oh Boy,Cam'ron featuring Juelz Santana,"June 15, 2002"
The ROC (Just Fire),Cam'ron featuring Beanie Sigel and Memphis Bleek,"June 15, 2002"
Hot in Herre,Nelly,"July 13, 2002"
Dilemma,Nelly featuring Kelly Rowland,"August 24, 2002"
Work It,Missy Elliott,"November 2, 2002"
Air Force Ones,"Nelly featuring Kyjuan, Ali and Murphy Lee","January 25, 2003"
In da Club,50 Cent,"February 8, 2003"
21 Questions,50 Cent featuring Nate Dogg,"May 3, 2003"
Magic Stick,Lil' Kim featuring 50 Cent,"June 21, 2003"
Right Thurr,Chingy,"July 26, 2003"
P.I.M.P.,50 Cent,"August 23, 2003"
Get Low,Lil Jon & the East Side Boyz featuring Ying Yang Twins,"September 6, 2003"
Shake Ya Tailfeather,"Nelly, P. Diddy and Murphy Lee","September 20, 2003"
Get Low,Lil Jon & the East Side Boyz featuring Ying Yang Twins,"October 11, 2003"
Damn!,YoungBloodz featuring Lil Jon,"October 18, 2003"
Stand Up,Ludacris featuring Shawnna,"October 25, 2003"
The Way You Move,Outkast featuring Sleepy Brown,"December 20, 2003"
Slow Jamz,Twista featuring Kanye West and Jamie Foxx,"January 24, 2004"
One Call Away,Chingy featuring J-Weav,"March 13, 2004"
Tipsy,J-Kwon,"April 3, 2004"
Overnight Celebrity,Twista,"May 8, 2004"
Slow Motion,Juvenile featuring Soulja Slim,"July 3, 2004"
Lean Back,Terror Squad,"August 14, 2004"
Drop It Like It's Hot,Snoop Dogg featuring Pharrell,"November 6, 2004"
Lovers and Friends,Lil Jon & the East Side Boyz featuring Usher and Ludacris,"January 15, 2005"
Candy Shop,50 Cent featuring Olivia,"March 12, 2005"
Hate It or Love It,The Game featuring 50 Cent,"April 23, 2005"
Just a Lil Bit,50 Cent,"May 21, 2005"
Let Me Hold You,Bow Wow featuring Omarion,"July 23, 2005"
Like You,Bow Wow featuring Ciara,"September 10, 2005"
Gold Digger,Kanye West featuring Jamie Foxx,"October 8, 2005"
Soul Survivor,Young Jeezy featuring Akon,"November 5, 2005"
I Think They Like Me,"Dem Franchize Boyz featuring Jermaine Dupri, Da Brat and Bow Wow","December 17, 2005"
Grillz,"Nelly featuring Paul Wall, Ali and Gipp","December 31, 2005"
"Lean wit It, Rock wit It",Dem Franchize Boyz featuring Lil Peanut and Charlay,"March 11, 2006"
What You Know,T.I.,"April 29, 2006"
It's Goin' Down,Yung Joc,"June 10, 2006"
Shoulder Lean,Young Dro featuring T.I.,"August 12, 2006"
Pullin' Me Back,Chingy featuring Tyrese,"September 2, 2006"
Money Maker,Ludacris featuring Pharrell,"October 14, 2006"
Shortie Like Mine,Bow Wow featuring Chris Brown and Johntá Austin,"December 2, 2006"
We Fly High,Jim Jones,"January 20, 2007"
Runaway Love,Ludacris featuring Mary J. Blige,"February 10, 2007"
This Is Why I'm Hot,Mims,"March 17, 2007"
I'm a Flirt,R. Kelly featuring T.I. and T-Pain or Bow Wow featuring R. Kelly[a],"May 5, 2007"
Party Like a Rockstar,Shop Boyz,"June 9, 2007"
Make Me Better,Fabolous featuring Ne-Yo,"July 28, 2007"
Shawty,Plies featuring T-Pain,"September 8, 2007"
Crank That (Soulja Boy),Soulja Boy,"September 29, 2007"
Good Life,Kanye West featuring T-Pain,"November 3, 2007"
Low,Flo Rida featuring T-Pain,"January 5, 2008"
Independent,Webbie featuring Lil Phat and Lil Boosie,"March 22, 2008"
Lollipop,Lil Wayne featuring Static Major,"April 19, 2008"
A Milli,Lil Wayne,"July 26, 2008"
Put On,Young Jeezy featuring Kanye West,"September 13, 2008"
Whatever You Like,T.I.,"September 20, 2008"
Live Your Life,T.I. featuring Rihanna,"November 29, 2008"
Heartless,Kanye West,"February 7, 2009"
Dead and Gone,T.I. featuring Justin Timberlake,"March 14, 2009"
Kiss Me Thru the Phone,Soulja Boy featuring Sammie,"April 11, 2009"
Dead and Gone,T.I. featuring Justin Timberlake,"April 25, 2009"
Kiss Me Thru the Phone,Soulja Boy featuring Sammie,"May 23, 2009"
Boom Boom Pow,The Black Eyed Peas,"June 6, 2009"
Best I Ever Had,Drake,"June 13, 2009"
Run This Town,Jay-Z featuring Rihanna and Kanye West,"September 26, 2009"
Forever,"Drake featuring Kanye West, Lil Wayne and Eminem","November 14, 2009"
Empire State of Mind,Jay-Z featuring Alicia Keys,"November 21, 2009"